time_s,frame_idx,exercise,conf,phase,knee_avg,elbow_avg,rep_count,score,warnings
1.517,0,lunge,1.0,Start,179.45,170.74,0,1.0,
1.558,1,lunge,1.0,Start,179.44,170.78,0,1.0,
1.586,2,lunge,1.0,Start,179.42,170.73,0,1.0,
1.62,3,lunge,1.0,Start,179.41,170.62,0,1.0,
1.652,4,lunge,1.0,Start,179.39,170.55,0,1.0,
1.683,5,lunge,1.0,Start,179.33,170.56,0,1.0,
1.714,6,lunge,1.0,Start,179.31,170.59,0,1.0,
1.746,7,lunge,1.0,Start,179.3,170.63,0,1.0,
1.778,8,lunge,1.0,Start,179.29,170.66,0,1.0,
1.808,9,lunge,1.0,Start,179.3,170.74,0,1.0,
1.839,10,lunge,1.0,Start,179.32,170.76,0,1.0,
1.87,11,lunge,1.0,Start,179.28,170.75,0,1.0,
1.9,12,lunge,1.0,Start,179.17,170.76,0,1.0,
1.932,13,lunge,1.0,Start,178.87,170.83,0,1.0,
1.964,14,lunge,1.0,Start,177.94,171.12,0,1.0,
1.995,15,lunge,1.0,Start,176.62,171.55,0,1.0,
2.027,16,lunge,1.0,Start,175.52,171.87,0,1.0,
2.059,17,lunge,1.0,Start,174.63,172.22,0,1.0,
2.091,18,lunge,1.0,Start,173.19,172.44,0,1.0,
2.123,19,lunge,1.0,Start,170.73,172.51,0,1.0,
2.155,20,lunge,1.0,Descending,168.08,172.57,0,1.0,
2.188,21,lunge,1.0,Descending,165.67,172.61,0,1.0,
2.219,22,lunge,1.0,Descending,163.83,172.56,0,1.0,
2.25,23,lunge,1.0,Descending,162.08,172.27,0,1.0,
2.282,24,lunge,1.0,Descending,160.58,172.28,0,1.0,
2.311,25,lunge,1.0,Descending,160.32,172.04,0,1.0,
2.345,26,lunge,1.0,Descending,161.08,171.66,0,1.0,
2.373,27,lunge,1.0,Descending,161.91,171.35,0,1.0,
2.409,28,lunge,1.0,Descending,162.85,170.29,0,1.0,
2.441,29,lunge,1.0,Descending,165.67,168.65,0,1.0,
2.473,30,lunge,1.0,Descending,167.15,166.38,0,1.0,
2.506,31,lunge,1.0,Descending,168.24,164.3,0,1.0,
2.537,32,lunge,1.0,Descending,169.07,162.78,0,1.0,
2.57,33,lunge,1.0,Descending,168.64,159.81,0,1.0,
2.601,34,lunge,1.0,Descending,168.43,154.73,0,1.0,
2.633,35,lunge,1.0,Descending,168.13,148.3,0,1.0,
2.665,36,lunge,1.0,Descending,167.05,140.59,0,1.0,
2.697,37,lunge,1.0,Descending,165.85,134.77,0,1.0,
2.728,38,lunge,1.0,Descending,163.76,127.3,0,1.0,
2.76,39,lunge,1.0,Descending,160.85,121.71,0,1.0,
2.79,40,lunge,1.0,Descending,158.76,115.01,0,1.0,
2.821,41,lunge,1.0,Descending,152.0,105.35,0,1.0,
2.854,42,lunge,1.0,Descending,145.94,97.43,0,1.0,
2.886,43,lunge,1.0,Descending,138.54,90.67,0,1.0,
2.918,44,lunge,1.0,Descending,131.14,84.79,0,1.0,
2.95,45,lunge,1.0,Descending,124.16,78.52,0,1.0,
2.983,46,lunge,1.0,Descending,118.7,74.2,0,1.0,
3.014,47,lunge,1.0,Descending,114.36,71.13,0,1.0,
3.046,48,lunge,1.0,Descending,109.93,68.19,0,1.0,
3.077,49,lunge,1.0,Descending,105.93,65.72,0,1.0,
3.109,50,lunge,1.0,Descending,104.8,63.71,0,1.0,
3.141,51,lunge,1.0,Descending,102.11,62.08,0,1.0,
3.173,52,lunge,1.0,Descending,99.46,60.6,0,1.0,
3.205,53,lunge,1.0,Descending,96.89,59.24,0,1.0,
3.237,54,lunge,1.0,Descending,94.72,58.38,0,1.0,
3.268,55,lunge,1.0,Bottom,92.85,57.69,0,1.0,
3.3,56,lunge,1.0,Bottom,91.35,57.08,0,1.0,
3.332,57,lunge,1.0,Bottom,90.98,56.53,0,1.0,
3.364,58,lunge,1.0,Bottom,89.89,56.08,0,1.0,
3.396,59,lunge,1.0,Bottom,88.91,55.52,0,1.0,
3.428,60,lunge,1.0,Bottom,87.77,54.92,0,1.0,
3.459,61,lunge,1.0,Bottom,86.91,54.36,0,1.0,
3.492,62,lunge,1.0,Bottom,86.24,53.85,0,1.0,
3.523,63,lunge,1.0,Bottom,85.63,53.42,0,1.0,
3.555,64,lunge,1.0,Bottom,85.01,53.14,0,1.0,
3.587,65,lunge,1.0,Bottom,84.39,52.97,0,1.0,
3.619,66,lunge,1.0,Bottom,83.85,52.88,0,1.0,
3.651,67,lunge,1.0,Bottom,83.5,52.74,0,1.0,
3.683,68,lunge,1.0,Bottom,83.19,52.52,0,1.0,
3.716,69,lunge,1.0,Bottom,82.9,52.27,0,1.0,
3.748,70,lunge,1.0,Bottom,82.63,52.02,0,1.0,
3.78,71,lunge,1.0,Bottom,82.41,51.82,0,1.0,
3.811,72,lunge,1.0,Bottom,82.24,51.69,0,1.0,
3.843,73,lunge,1.0,Bottom,82.13,51.59,0,1.0,
3.873,74,lunge,1.0,Bottom,82.09,51.53,0,1.0,
3.905,75,lunge,1.0,Bottom,82.17,51.5,0,1.0,
3.937,76,lunge,1.0,Bottom,82.31,51.48,0,1.0,
3.968,77,lunge,1.0,Bottom,82.48,51.47,0,1.0,
4.001,78,lunge,1.0,Bottom,82.7,51.45,0,1.0,
4.031,79,lunge,1.0,Bottom,82.94,51.42,0,1.0,
4.061,80,lunge,1.0,Bottom,83.23,51.43,0,1.0,
