time_s,frame_idx,exercise,conf,phase,knee_avg,elbow_avg,rep_count,score,warnings
1.569,0,pushup,1.0,Top,173.48,167.62,0,1.0,
1.61,1,pushup,1.0,Top,173.32,167.47,0,1.0,
1.64,2,pushup,1.0,Top,173.3,167.34,0,1.0,
1.672,3,pushup,1.0,Top,173.43,167.12,0,1.0,
1.703,4,pushup,1.0,Top,173.79,166.59,0,1.0,
1.735,5,pushup,1.0,Top,174.13,165.84,0,1.0,
1.766,6,pushup,1.0,Top,174.43,165.11,0,1.0,
1.797,7,pushup,1.0,Top,174.69,164.45,0,1.0,
1.83,8,pushup,1.0,Top,174.91,163.91,0,1.0,
1.86,9,pushup,1.0,Top,175.22,163.14,0,1.0,
1.892,10,pushup,1.0,Top,175.63,161.97,0,1.0,
1.92,11,pushup,1.0,Top,176.14,160.39,0,1.0,
1.954,12,pushup,1.0,Top,176.5,158.98,0,1.0,
1.985,13,pushup,1.0,Top,177.0,157.32,0,1.0,
2.017,14,pushup,1.0,Top,177.61,155.7,0,1.0,
2.048,15,pushup,1.0,Top,177.72,154.2,0,1.0,
2.079,16,pushup,1.0,Top,177.78,152.89,0,1.0,
2.11,17,pushup,1.0,Top,177.69,151.44,0,1.0,
2.142,18,pushup,1.0,Top,177.55,150.29,0,1.0,
2.176,19,pushup,1.0,Top,177.45,149.18,0,1.0,
2.207,20,pushup,1.0,Top,177.37,147.39,0,1.0,
2.238,21,pushup,1.0,Descending,177.37,145.34,0,1.0,
2.27,22,pushup,1.0,Descending,177.51,143.05,0,1.0,
2.302,23,pushup,1.0,Descending,177.29,141.4,0,1.0,
2.333,24,pushup,1.0,Descending,177.19,139.79,0,1.0,
2.364,25,pushup,1.0,Descending,177.13,137.92,0,1.0,
2.395,26,pushup,1.0,Descending,177.47,136.0,0,1.0,
2.423,27,pushup,1.0,Descending,177.87,134.09,0,1.0,
2.451,28,pushup,1.0,Descending,177.85,131.41,0,1.0,
2.49,29,pushup,1.0,Descending,177.92,128.2,0,1.0,
2.523,30,pushup,1.0,Descending,177.72,121.41,0,1.0,
2.553,31,pushup,1.0,Descending,177.49,116.79,0,1.0,
2.584,32,pushup,1.0,Descending,177.18,110.89,0,1.0,
2.617,33,pushup,1.0,Descending,176.9,103.24,0,1.0,
2.646,34,pushup,1.0,Descending,176.55,96.45,0,1.0,
2.678,35,pushup,1.0,Descending,176.48,92.31,0,1.0,
2.71,36,pushup,1.0,Descending,176.29,93.11,0,1.0,
2.741,37,pushup,1.0,Descending,176.08,93.43,0,1.0,
2.771,38,pushup,1.0,Descending,175.93,92.91,0,1.0,
2.802,39,pushup,1.0,Descending,176.05,94.1,0,1.0,
2.833,40,pushup,1.0,Descending,176.14,94.14,0,1.0,
2.864,41,pushup,1.0,Descending,176.44,93.97,0,1.0,
2.895,42,pushup,1.0,Descending,176.69,93.75,0,1.0,
2.927,43,pushup,1.0,Descending,177.03,92.81,0,1.0,
2.957,44,pushup,1.0,Descending,177.27,90.69,0,1.0,
2.988,45,pushup,1.0,Bottom,177.48,89.43,0,1.0,
3.02,46,pushup,1.0,Bottom,177.59,88.13,0,1.0,
3.051,47,pushup,1.0,Bottom,177.89,87.03,0,1.0,
3.083,48,pushup,1.0,Bottom,178.04,85.86,0,1.0,
3.114,49,pushup,1.0,Bottom,178.02,84.32,0,1.0,
3.146,50,pushup,1.0,Bottom,178.04,81.85,0,1.0,
3.177,51,pushup,1.0,Bottom,178.08,79.17,0,1.0,
3.209,52,pushup,1.0,Bottom,178.04,76.86,0,1.0,
3.24,53,pushup,1.0,Bottom,178.06,75.58,0,1.0,
3.27,54,pushup,1.0,Bottom,177.98,73.8,0,1.0,
3.303,55,pushup,1.0,Bottom,177.79,71.97,0,1.0,
3.333,56,pushup,1.0,Bottom,177.62,70.29,0,1.0,
3.364,57,pushup,1.0,Bottom,177.4,68.63,0,1.0,
3.394,58,pushup,1.0,Bottom,177.2,67.63,0,1.0,
3.424,59,pushup,1.0,Bottom,176.92,67.1,0,1.0,
3.456,60,pushup,1.0,Bottom,176.65,66.73,0,1.0,
3.487,61,pushup,1.0,Bottom,176.48,66.14,0,1.0,
3.519,62,pushup,1.0,Bottom,176.21,65.74,0,1.0,
3.55,63,pushup,1.0,Bottom,176.1,65.85,0,1.0,
3.581,64,pushup,1.0,Bottom,176.02,65.85,0,1.0,
3.613,65,pushup,1.0,Bottom,176.11,66.19,0,1.0,
3.644,66,pushup,1.0,Bottom,176.39,66.34,0,1.0,
3.674,67,pushup,1.0,Bottom,176.79,67.33,0,1.0,
3.706,68,pushup,1.0,Bottom,176.99,68.35,0,1.0,
3.736,69,pushup,1.0,Bottom,177.04,69.26,0,1.0,
3.767,70,pushup,1.0,Bottom,177.0,70.29,0,1.0,
3.799,71,pushup,1.0,Bottom,177.02,71.15,0,1.0,
3.83,72,pushup,1.0,Bottom,177.01,72.21,0,1.0,
3.862,73,pushup,1.0,Bottom,176.42,73.35,0,1.0,
3.894,74,pushup,1.0,Ascending,175.77,76.13,0,1.0,
3.925,75,pushup,1.0,Ascending,175.02,78.58,0,1.0,
3.957,76,pushup,1.0,Ascending,174.65,82.14,0,1.0,
3.988,77,pushup,1.0,Ascending,174.4,86.12,0,1.0,
4.02,78,pushup,1.0,Ascending,174.49,90.21,0,1.0,
4.052,79,pushup,1.0,Ascending,174.92,94.9,0,1.0,
