time_s,frame_idx,exercise,conf,phase,knee_avg,elbow_avg,rep_count,score,warnings
1.557,0,squat,1.0,Start,178.58,162.17,0,1.0,
1.605,1,squat,1.0,Start,178.8,162.17,0,1.0,
1.637,2,squat,1.0,Start,178.94,162.17,0,1.0,
1.667,3,squat,1.0,Start,179.03,162.19,0,1.0,
1.697,4,squat,1.0,Start,179.1,162.24,0,1.0,
1.741,5,squat,1.0,Start,179.16,162.29,0,1.0,
1.774,6,squat,1.0,Start,179.2,162.35,0,1.0,
1.805,7,squat,1.0,Start,179.23,162.39,0,1.0,
1.854,8,squat,1.0,Start,179.25,162.4,0,1.0,
1.884,9,squat,1.0,Start,179.26,162.35,0,1.0,
1.919,10,squat,1.0,Start,179.27,162.32,0,1.0,
1.961,11,squat,1.0,Start,179.27,162.33,0,1.0,
1.993,12,squat,1.0,Start,179.26,162.41,0,1.0,
2.027,13,squat,1.0,Start,179.08,162.55,0,1.0,
2.058,14,squat,1.0,Start,178.82,162.66,0,1.0,
2.09,15,squat,1.0,Start,178.52,162.76,0,1.0,
2.12,16,squat,1.0,Start,178.25,162.88,0,1.0,
2.169,17,squat,1.0,Start,178.0,163.02,0,1.0,
2.215,18,squat,1.0,Start,177.8,163.02,0,1.0,
2.247,19,squat,1.0,Start,177.66,163.18,0,1.0,
2.28,20,squat,1.0,Start,177.47,163.25,0,1.0,
2.313,21,squat,1.0,Start,176.99,163.5,0,1.0,
2.357,22,squat,1.0,Start,176.25,164.04,0,1.0,
2.404,23,squat,1.0,Start,175.09,164.38,0,1.0,
2.451,24,squat,1.0,Start,173.82,165.09,0,1.0,
2.485,25,squat,1.0,Start,172.32,165.58,0,1.0,
2.533,26,squat,1.0,Start,170.26,165.84,0,1.0,
2.58,27,squat,1.0,Start,168.21,165.58,0,1.0,
2.611,28,squat,1.0,Start,166.36,164.77,0,1.0,
2.658,29,squat,1.0,Descending,164.25,163.97,0,1.0,
2.704,30,squat,1.0,Descending,162.15,163.28,0,1.0,
2.738,31,squat,1.0,Descending,160.23,162.84,0,1.0,
2.781,32,squat,1.0,Descending,158.35,162.5,0,1.0,
2.814,33,squat,1.0,Descending,156.4,162.55,0,1.0,
2.85,34,squat,1.0,Descending,154.18,162.57,0,1.0,
2.889,35,squat,1.0,Descending,151.89,162.46,0,1.0,
2.938,36,squat,1.0,Descending,149.6,162.61,0,1.0,
2.99,37,squat,1.0,Descending,147.5,162.41,0,1.0,
3.031,38,squat,1.0,Descending,145.42,162.67,0,1.0,
3.069,39,squat,1.0,Descending,143.75,162.63,0,1.0,
3.107,40,squat,1.0,Descending,141.95,162.81,0,1.0,
3.143,41,squat,1.0,Descending,140.02,162.48,0,1.0,
3.19,42,squat,1.0,Descending,137.96,161.8,0,1.0,
3.221,43,squat,1.0,Descending,135.79,161.16,0,1.0,
3.253,44,squat,1.0,Descending,133.6,161.0,0,1.0,
3.3,45,squat,1.0,Descending,131.19,160.73,0,1.0,
3.331,46,squat,1.0,Descending,128.86,160.37,0,1.0,
3.381,47,squat,1.0,Descending,127.21,160.69,0,1.0,
3.428,48,squat,1.0,Descending,125.66,160.61,0,1.0,
3.473,49,squat,1.0,Descending,123.96,160.49,0,1.0,
3.506,50,squat,1.0,Descending,122.04,160.32,0,1.0,
3.554,51,squat,1.0,Descending,120.0,159.95,0,1.0,
3.585,52,squat,1.0,Descending,117.81,159.93,0,1.0,
3.619,53,squat,1.0,Descending,115.28,159.76,0,1.0,
